phase,cell,cell_type,model,metric,value,note,n_recordings,n_mice
B,low_gamma_delta,ratio,random_forest,balanced_accuracy,0.5807692307692307,,33,17
B,low_gamma_delta,ratio,random_forest,roc_auc,0.55,,33,17
B,low_gamma_delta,ratio,random_forest,accuracy,0.6060606060606061,,33,17
B,low_gamma_delta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.423965483687821,,33,17
B,low_gamma_delta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.14427860696517414,,33,17
B,high_gamma_delta,ratio,svm_rbf,balanced_accuracy,0.35,,33,17
B,high_gamma_delta,ratio,svm_rbf,roc_auc,0.01923076923076923,,33,17
B,high_gamma_delta,ratio,svm_rbf,accuracy,0.42424242424242425,,33,17
B,high_gamma_delta,ratio,random_forest,balanced_accuracy,0.5557692307692308,,33,17
B,high_gamma_delta,ratio,random_forest,roc_auc,0.5634615384615385,,33,17
B,high_gamma_delta,ratio,random_forest,accuracy,0.5757575757575758,,33,17
B,high_gamma_delta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.43052908913094506,,33,17
B,high_gamma_delta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.7512437810945274,,33,17
B,fast_gamma_delta,ratio,svm_rbf,balanced_accuracy,0.4,,33,17
B,fast_gamma_delta,ratio,svm_rbf,roc_auc,0.0038461538461538438,,33,17
B,fast_gamma_delta,ratio,svm_rbf,accuracy,0.48484848484848486,,33,17
B,fast_gamma_delta,ratio,random_forest,balanced_accuracy,0.3653846153846154,,33,17
B,fast_gamma_delta,ratio,random_forest,roc_auc,0.3923076923076923,,33,17
B,fast_gamma_delta,ratio,random_forest,accuracy,0.3939393939393939,,33,17
B,fast_gamma_delta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.4232004965447051,,33,17
B,fast_gamma_delta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.5671641791044776,,33,17
B,beta_theta,ratio,svm_rbf,balanced_accuracy,0.4634615384615385,,33,17
B,beta_theta,ratio,svm_rbf,roc_auc,0.6269230769230769,,33,17
B,beta_theta,ratio,svm_rbf,accuracy,0.5454545454545454,,33,17
B,beta_theta,ratio,random_forest,balanced_accuracy,0.49230769230769234,,33,17
B,beta_theta,ratio,random_forest,roc_auc,0.3730769230769231,,33,17
B,beta_theta,ratio,random_forest,accuracy,0.5151515151515151,,33,17
B,beta_theta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.41143521399761307,,33,17
B,beta_theta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.3333333333333333,,33,17
B,low_gamma_theta,ratio,svm_rbf,balanced_accuracy,0.5134615384615384,,33,17
B,low_gamma_theta,ratio,svm_rbf,roc_auc,0.3269230769230769,,33,17
B,low_gamma_theta,ratio,svm_rbf,accuracy,0.6060606060606061,,33,17
B,low_gamma_theta,ratio,random_forest,balanced_accuracy,0.3634615384615385,,33,17
