phase,cell,cell_type,model,boot_mean,boot_median,boot_ci_lo,boot_ci_hi,n_valid_iters,n_skipped_iters,n_recordings,n_mice,note
C,beta,band,random_forest,0.4371143392541009,0.4444444444444444,0.14285714285714285,0.8118749999999991,923,77,26,14,
C,low_gamma,band,svm_rbf,0.6250210552586363,0.6428571428571428,0.25,1.0,926,74,26,14,
C,low_gamma,band,random_forest,0.5387768414091308,0.5345238095238095,0.16666666666666666,0.8571428571428572,926,74,26,14,
C,high_gamma,band,svm_rbf,0.4365857191750049,0.43333333333333335,0.07142857142857142,0.7857142857142857,924,76,26,14,
C,high_gamma,band,random_forest,0.4209338761286813,0.4577380952380953,0.04621212121212124,0.6986363636363627,924,76,26,14,
C,fast_gamma,band,svm_rbf,0.43984731712250674,0.4375,0.1,0.7853174603174597,923,77,26,14,
C,fast_gamma,band,random_forest,0.45981438207873737,0.5,0.1,0.75,923,77,26,14,
C,theta_delta,ratio,svm_rbf,0.38661850190820146,0.4,0.07142857142857142,0.7126488095238097,932,68,26,14,
C,theta_delta,ratio,random_forest,0.3787119175531193,0.375,0.09090909090909091,0.7237012987012991,932,68,26,14,
C,beta_delta,ratio,svm_rbf,0.4178294778404187,0.41666666666666663,0.1,0.7791666666666663,914,86,26,14,
C,beta_delta,ratio,random_forest,0.38948664847187825,0.3908730158730158,0.1397321428571429,0.7142857142857143,914,86,26,14,
C,low_gamma_delta,ratio,svm_rbf,0.46022935845516494,0.5,0.1,0.8,930,70,26,14,
C,low_gamma_delta,ratio,random_forest,0.358396873437196,0.35565476190476186,0.07410714285714287,0.6666666666666666,930,70,26,14,
C,high_gamma_delta,ratio,svm_rbf,0.4294479364740803,0.42857142857142855,0.1,0.75,918,82,26,14,
C,high_gamma_delta,ratio,random_forest,0.5819416467700781,0.5833333333333334,0.25,0.9,918,82,26,14,
C,fast_gamma_delta,ratio,svm_rbf,0.4022132796780684,0.41666666666666663,0.1,0.6875,923,77,26,14,
