mouse_uid,feature,n_rec,spearman_r,spearman_p
25,theta_rel,4,0.39999999999999997,0.6
25,beta_rel,4,-0.7999999999999999,0.20000000000000007
25,low_gamma_rel,4,0.0,1.0
25,high_gamma_rel,4,0.0,1.0
25,fast_gamma_rel,4,0.0,1.0
25,log_theta_delta,4,0.39999999999999997,0.6
25,log_beta_delta,4,-0.7999999999999999,0.20000000000000007
25,log_low_gamma_delta,4,0.0,1.0
25,log_high_gamma_delta,4,0.0,1.0
25,log_fast_gamma_delta,4,0.0,1.0
25,log_beta_theta,4,-0.7999999999999999,0.20000000000000007
25,log_low_gamma_theta,4,-0.6000000000000001,0.3999999999999999
25,log_high_gamma_theta,4,0.0,1.0
25,log_fast_gamma_theta,4,0.0,1.0
25,log_low_gamma_beta,4,0.39999999999999997,0.6
25,log_high_gamma_beta,4,0.39999999999999997,0.6
25,log_fast_gamma_beta,4,0.39999999999999997,0.6
25,log_high_gamma_low_gamma,4,0.39999999999999997,0.6
25,log_fast_gamma_low_gamma,4,0.19999999999999998,0.8
25,log_fast_gamma_high_gamma,4,0.39999999999999997,0.6
4,log_delta_abs,10,-0.5272727272727272,0.11730806555020223
4,log_theta_abs,10,0.309090909090909,0.3848412302612835
4,log_beta_abs,10,-0.5151515151515151,0.12755286970323426
4,log_low_gamma_abs,10,-0.4424242424242424,0.20042268671194224
4,log_high_gamma_abs,10,-0.12727272727272726,0.7260570147627894
4,log_fast_gamma_abs,10,-0.2606060606060606,0.4670890543863402
4,delta_rel,10,-0.7575757575757575,0.011143446799694208
4,theta_rel,10,0.8424242424242423,0.0022200312259168407
4,beta_rel,10,-0.24848484848484845,0.48877630451924314
4,low_gamma_rel,10,0.12727272727272726,0.7260570147627894
4,high_gamma_rel,10,-0.06666666666666665,0.8548130882487426
4,fast_gamma_rel,10,-0.01818181818181818,0.9602404181286243
4,log_theta_delta,10,0.8424242424242423,0.0022200312259168407
4,log_beta_delta,10,0.2727272727272727,0.44583834154275137
4,log_low_gamma_delta,10,0.41818181818181815,0.22911284098281892
4,log_high_gamma_delta,10,0.7212121212121211,0.018573155089460208
4,log_fast_gamma_delta,10,0.12727272727272726,0.7260570147627894
4,log_beta_theta,10,-0.406060606060606,0.24428229408662638
4,log_low_gamma_theta,10,-0.28484848484848485,0.42503815489214547
4,log_high_gamma_theta,10,-0.23636363636363633,0.5108853175152002
4,log_fast_gamma_theta,10,-0.5151515151515151,0.12755286970323426
4,log_low_gamma_beta,10,0.41818181818181815,0.22911284098281892
4,log_high_gamma_beta,10,0.3696969696969697,0.2930500752928223
4,log_fast_gamma_beta,10,0.29696969696969694,0.4047016712701569
4,log_high_gamma_low_gamma,10,0.2727272727272727,0.44583834154275137
4,log_fast_gamma_low_gamma,10,0.0303030303030303,0.9337729580941466
4,log_fast_gamma_high_gamma,10,-0.38181818181818183,0.27625533338543595
9,log_delta_abs,10,-0.17575757575757575,0.6271883447764844
9,log_theta_abs,10,-0.309090909090909,0.3848412302612835
9,log_beta_abs,10,-0.4787878787878787,0.1615229280174558
9,log_low_gamma_abs,10,-0.3939393939393939,0.25999776683488757
9,log_high_gamma_abs,10,-0.29696969696969694,0.4047016712701569
9,log_fast_gamma_abs,10,-0.29696969696969694,0.4047016712701569
9,delta_rel,10,0.19999999999999998,0.5795840000000001
9,theta_rel,10,-0.0303030303030303,0.9337729580941466
9,beta_rel,10,-0.0303030303030303,0.9337729580941466
9,low_gamma_rel,10,-0.0303030303030303,0.9337729580941466
9,high_gamma_rel,10,0.3696969696969697,0.2930500752928223
9,fast_gamma_rel,10,0.43030303030303024,0.21449233253280775
9,log_theta_delta,10,-0.43030303030303024,0.21449233253280775
9,log_beta_delta,10,-0.19999999999999998,0.5795840000000001
9,log_low_gamma_delta,10,-0.06666666666666665,0.8548130882487426
9,log_high_gamma_delta,10,0.05454545454545454,0.8810361811618526
9,log_fast_gamma_delta,10,0.11515151515151514,0.7514196523258483
9,log_beta_theta,10,0.01818181818181818,0.9602404181286243
9,log_low_gamma_theta,10,-0.01818181818181818,0.9602404181286243
9,log_high_gamma_theta,10,0.43030303030303024,0.21449233253280775
9,log_fast_gamma_theta,10,0.4666666666666666,0.17393859716506632
9,log_low_gamma_beta,10,0.5878787878787878,0.07387770688865801
9,log_high_gamma_beta,10,0.5636363636363636,0.08972402831709125
9,log_fast_gamma_beta,10,0.49090909090909085,0.14965567342083677
9,log_high_gamma_low_gamma,10,0.406060606060606,0.24428229408662638
9,log_fast_gamma_low_gamma,10,0.4424242424242424,0.20042268671194224
9,log_fast_gamma_high_gamma,10,0.35757575757575755,0.3103760917056799
