outcome,term,beta,se,ci_lo,ci_hi,p_wald,converged,n_obs,n_mice,p_bh
log_high_gamma_low_gamma,"C(group, Treatment(reference='CTRL'))[T.HF]",-0.010541753115794451,0.027986562036646737,-0.065394406758718,0.0443109005271291,0.7064174048790988,True,163,19,0.8726332648506514
log_high_gamma_low_gamma,"C(estrous_phase, Treatment(reference='A'))[T.B]",0.003708570689046123,0.02496762107141113,-0.04522706739056305,0.05264420876865529,0.8819204053143382,True,163,19,
log_high_gamma_low_gamma,"C(estrous_phase, Treatment(reference='A'))[T.C]",-0.037165750178317046,0.03016768830999693,-0.09629333276274105,0.021961832406106947,0.21795950809234388,True,163,19,
log_high_gamma_low_gamma,"C(estrous_phase, Treatment(reference='A'))[T.D]",0.020441676363758297,0.024072907917868244,-0.026740356158412564,0.06762370888592915,0.3957939806944435,True,163,19,
log_high_gamma_low_gamma,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",0.007825426073225923,0.017260789636604938,-0.02600509995924196,0.041655952105693804,0.6502864278485232,True,163,19,
log_high_gamma_low_gamma,body_weight,-0.005713459290369322,0.0036849538204027747,-0.012935836063052038,0.0015089174823133952,0.12102556326596624,True,163,19,
log_high_gamma_low_gamma,days_on_diet,-0.001216142724203449,0.0010422850460834634,-0.0032589838761517076,0.0008266984277448097,0.24328939049532938,True,163,19,
log_fast_gamma_low_gamma,Intercept,-0.738387091323764,0.296049451169602,-1.3186333532590333,-0.15814082938849472,0.012626475996616033,True,163,19,
log_fast_gamma_low_gamma,"C(group, Treatment(reference='CTRL'))[T.HF]",-0.06404730565544116,0.0726861830480409,-0.20650960660328715,0.07841499529240482,0.3782375649149935,True,163,19,0.7912371643805568
log_fast_gamma_low_gamma,"C(estrous_phase, Treatment(reference='A'))[T.B]",-0.024559870189856926,0.03704465648081426,-0.09716606271191117,0.04804632233219732,0.5073432969453453,True,163,19,
log_fast_gamma_low_gamma,"C(estrous_phase, Treatment(reference='A'))[T.C]",-0.04223048521908303,0.04443647596984272,-0.12932437771985433,0.04486340728168828,0.3419312369862353,True,163,19,
log_fast_gamma_low_gamma,"C(estrous_phase, Treatment(reference='A'))[T.D]",-0.0063836473457274025,0.035385061880442645,-0.07573709422211614,0.06296979953066134,0.8568345126656752,True,163,19,
log_fast_gamma_low_gamma,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",0.030991831328273593,0.025036220164951013,-0.01807825850404584,0.08006192116059302,0.21576063162712233,True,163,19,
log_fast_gamma_low_gamma,body_weight,0.0010805783401199264,0.009214370570719069,-0.01697925611869523,0.019140412798935084,0.9066453146361042,True,163,19,
log_fast_gamma_low_gamma,days_on_diet,-0.0016611160729692502,0.0016421317780658208,-0.00487963521584698,0.0015574030699084798,0.3117481148407635,True,163,19,
log_fast_gamma_high_gamma,Intercept,-0.5499787700606257,0.22889643163907078,-0.9986075322629389,-0.10135000785831244,0.01627272190789036,True,163,19,
log_fast_gamma_high_gamma,"C(group, Treatment(reference='CTRL'))[T.HF]",-0.05397873599949092,0.059125687635236526,-0.1698629543257197,0.06190548232673787,0.3612693773644754,True,163,19,0.7912371643805568
