mouse,group,cable,differential_file,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,theta_delta,log_theta_delta,low_gamma_theta,log_low_gamma_theta,high_gamma_theta,log_high_gamma_theta,fast_gamma_theta,log_fast_gamma_theta,beta_theta,log_beta_theta
24,CTRL,Cable1,Mouse24_Cable1_CTRL_2026-03-06_13-06-06_DIFF_Ch2_minus_Ch3.npy,2026-03-06,diet,11.0,,27.02,interpolated,B,0.4873809112063882,-0.3121314844251478,0.04549127806852249,-1.3420718615804732,0.02070973532283713,-1.683825451496014,0.011398674661833261,-1.9431456416910087,0.11528705564656073,-0.9382194522617351
24,CTRL,Cable1,Mouse24_Cable1_CTRL_2026-03-11_13-10-18_DIFF_Ch2_minus_Ch3.npy,2026-03-11,diet,16.0,,26.93,interpolated,C,0.47384993438832174,-0.32435917517379426,0.022677906864056113,-1.644397032642464,0.008459526388136848,-2.0726539505279247,0.004481549678466073,-2.3485717850126533,0.08176570509820627,-1.0874288138063688
24,CTRL,Cable1,Mouse24_Cable1_CTRL_2026-03-17_12-19-55_DIFF_Ch2_minus_Ch3.npy,2026-03-17,diet,22.0,,26.57,interpolated,D,0.24322342875769393,-0.6139945935024661,0.0837983786299292,-1.076764384220403,0.04196973641379736,-1.3770637583175256,0.024210937907516116,-1.6159883860985835,0.18157303896275398,-0.7409486376374681
24,CTRL,Cable1,Mouse24_Cable1_CTRL_2026-03-24_14-29-11_DIFF_Ch2_minus_Ch3.npy,2026-03-24,diet,29.0,,25.8,interpolated,C,0.372841392545469,-0.4284758786244376,0.08787008248572711,-1.0561589659160338,0.043094258164758675,-1.3655805909408798,0.024035742193698684,-1.6191424628571065,0.20260941160698512,-0.6933403846714743
24,CTRL,Cable1,Mouse24_Cable1_CTRL_2026-04-01_13-17-43_DIFF_Ch2_minus_Ch3.npy,2026-04-01,recovery,,2.0,26.07,interpolated,C,0.3463775130257332,-0.4604503103205031,0.08216129618481316,-1.085332717883618,0.04001583372984744,-1.3977681301507523,0.02199457957106555,-1.657684335197069,0.19288748642246986,-0.7146959463009083
24,CTRL,Cable1,Mouse24_Cable1_CTRL_2026-03-30_12-54-24_DIFF_Ch2_minus_Ch3.npy,2026-03-30,diet,35.0,,25.2,measured,D,0.35638473107130025,-0.44808091112655024,0.08742068626501623,-1.0583857885585621,0.03974963311113194,-1.4006668755243967,0.021531749463983264,-1.6669206821278806,0.2513035358805264,-0.5998014007723342
26,CTRL,Cable1,Mouse26_Cable1_CTRL_2026-02-21_14-36-19_DIFF_Ch3_minus_Ch4.npy,2026-02-21,baseline,,,33.0,baseline,A,0.40539339138637953,-0.39212333533670013,0.07609334702764024,-1.1186533126839713,0.033867011375737256,-1.4702231263637302,0.01631688473735664,-1.7873627543150643,0.14063101442065334,-0.8519188905083244
26,CTRL,Cable1,Mouse26_Cable1_CTRL_2026-03-19_15-33-40_DIFF_Ch3_minus_Ch4.npy,2026-03-19,diet,24.0,,32.3,measured,D,0.5682948046928653,-0.24542631422367328,0.07354794511034887,-1.1334294567189562,0.03294940203980214,-1.4821524625015563,0.013740119001342319,-1.8620095058934623,0.17808385514591912,-0.7493754513332817
26,CTRL,Cable1,Mouse26_Cable1_CTRL_2026-03-24_15-03-43_DIFF_Ch3_minus_Ch4.npy,2026-03-24,diet,29.0,,31.93,interpolated,C,0.52001464708725,-0.28398442355831327,0.06506593401775691,-1.1866463315606606,0.032799921551811134,-1.484127194997354,0.014015585319001397,-1.8533887605148676,0.13514489696722412,-0.869200348491463
26,CTRL,Cable1,Mouse26_Cable1_CTRL_2026-04-01_13-41-00_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,31.6,interpolated,A,0.5867451373387538,-0.23155050093805746,0.07285479256077702,-1.137541874034842,0.03598914656468979,-1.443828451947825,0.015359806241358322,-1.8136142627445881,0.15435981486240796,-0.8114657509887132
