mouse,group,cable,filename,file_path
14,HF,Cable1,Mouse14_Cable1-2026-03-19_14-09-18.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-03-19_14-09-18.eeg
14,HF,Cable1,Mouse14_Cable1-2026-03-26_11-43-11.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-03-26_11-43-11.eeg
14,HF,Cable1,Mouse14_Cable1-2026-03-29_13-48-59.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-03-29_13-48-59.eeg
14,HF,Cable1,Mouse14_Cable1-2026-03-31_11-46-25.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-03-31_11-46-25.eeg
14,HF,Cable1,Mouse14_Cable1-2026-04-02_12-46-08.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-04-02_12-46-08.eeg
14,HF,Cable1,Mouse14_Cable1-2026-04-10_13-18-12.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-04-10_13-18-12.eeg
14,HF,Cable1,Mouse14_Cable1-2026-04-16_13-08-12.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-04-16_13-08-12.eeg
17,HF,Cable1,Mouse17_Cable1-2026-02-19_10-59-12.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse17_Cable1-2026-02-19_10-59-12.eeg
17,HF,Cable1,Mouse17_Cable1-2026-03-05_11-29-30.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse17_Cable1-2026-03-05_11-29-30.eeg
17,HF,Cable1,Mouse17_Cable1-2026-03-10_13-26-40.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse17_Cable1-2026-03-10_13-26-40.eeg
