mouse,group,differential_file,beta_episode_rate,beta_mean_duration_sec,beta_mean_amplitude,beta_fraction_of_time,beta_n_episodes,beta_threshold,low_gamma_episode_rate,low_gamma_mean_duration_sec,low_gamma_mean_amplitude,low_gamma_fraction_of_time,low_gamma_n_episodes,low_gamma_threshold,high_gamma_episode_rate,high_gamma_mean_duration_sec,high_gamma_mean_amplitude,high_gamma_fraction_of_time,high_gamma_n_episodes,high_gamma_threshold
19,CTRL,Mouse19_Cable1_CTRL_2026-03-09_13-11-23_DIFF_Ch3_minus_Ch4.npy,9.476540298017795,0.2064140350877193,160.60350863548229,0.032601515359753856,285,109.05652277755046,7.614483257003773,0.25020786026200875,133.93882955598556,0.03175339271226342,229,100.29043487177672,2.294320282677993,0.13128115942028987,131.34257280818224,0.005020017113190901,69,69.11943554240452
19,CTRL,Mouse19_Cable1_CTRL_2026-03-14_13-02-22_DIFF_Ch3_minus_Ch4.npy,6.523967815092112,0.19655510204081633,145.13224469392884,0.021371985993440527,196,90.7219583277359,3.49498275808506,0.16993523809523808,138.0693952212743,0.00989867878556561,105,80.99157183851165,2.8958428566990495,0.14206896551724138,109.49236586004949,0.006856823315862118,87,62.82280910219181
19,CTRL,Mouse19_Cable1_CTRL_2026-03-19_19-00-58_DIFF_Ch3_minus_Ch4.npy,16.536793888459805,0.29413487475915223,177.82790363205297,0.0810674633216673,519,124.46527372799919,7.42403270907733,0.16887210300429184,126.05338203524569,0.020895200272575645,233,103.04169980332267,3.3774569406102875,0.13527547169811321,106.58926705716443,0.007614784679685382,106,73.47094374387056
19,CTRL,Mouse19_Cable1_CTRL_2026-03-27_12-30-35_DIFF_Ch3_minus_Ch4.npy,20.322512108830132,0.2522233766233766,261.6425431755979,0.08543021042597657,616,179.2581865022438,10.656122420701513,0.19000866873065014,178.97635980841287,0.03374592724980546,323,114.28319885632958,3.29910910857632,0.154824,177.847634458228,0.008513021143770337,100,77.00133238426497
19,CTRL,Mouse19_Cable1_CTRL_2026-04-01_12-52-41_DIFF_Ch3_minus_Ch4.npy,9.815717198497126,0.2297940594059406,157.822172251451,0.037593225017056024,202,105.99251235139967,3.1099302015040395,0.1517625,158.49840537063966,0.007866179703429281,64,90.43471566030419,2.6725962669175343,0.13188363636363637,124.79257433927695,0.005874528570216069,55,70.15793118054704
19,CTRL,Mouse19_Cable1_CTRL_2026-03-30_12-31-14_DIFF_Ch3_minus_Ch4.npy,8.916229055943063,0.2964133333333333,156.2861191708818,0.044048152920593386,180,106.08154580935079,3.6655608341099257,0.1487243243243243,122.58808357764951,0.009085967638711757,74,91.91724313698887,2.377661081584817,0.1312,97.08933769803609,0.005199152231732133,48,71.2811972045009
24,CTRL,Mouse24_Cable1_CTRL_2026-03-06_13-06-06_DIFF_Ch2_minus_Ch3.npy,4.654818601719091,0.17910285714285715,117.51784089338804,0.01389485518416014,140,77.74212072007566,2.2609118922635583,0.15509411764705883,112.27652708024873,0.005844235583472646,68,70.49294535557048,2.2609118922635583,0.14195294117647062,82.66161658765871,0.005349051547461196,68,57.66089436556058
24,CTRL,Mouse24_Cable1_CTRL_2026-03-11_13-10-18_DIFF_Ch2_minus_Ch3.npy,5.322296074008301,0.23287500000000003,121.13740001817507,0.02065716163724472,160,72.93881353118584,3.7921359527309146,0.21070175438596492,121.488036386683,0.013316828301841603,114,68.33523931986129,3.4927567985679477,0.16877714285714285,87.2221385089374,0.009824958552619324,105,56.188570826049315
24,CTRL,Mouse24_Cable1_CTRL_2026-03-17_12-19-55_DIFF_Ch2_minus_Ch3.npy,2.9694032687191183,0.15211555555555556,91.45443449647543,0.007528207131494854,90,66.58968090600344,2.606476202542337,0.12788860759493673,67.90845441245047,0.005555643537874628,79,64.73837264648529,1.9466088094936442,0.12771525423728813,53.69127062280911,0.0041435273167504255,59,53.10494885537896
24,CTRL,Mouse24_Cable1_CTRL_2026-03-24_14-29-11_DIFF_Ch2_minus_Ch3.npy,2.8522545413862135,0.14759069767441862,96.97741537079375,0.007016103961803668,86,76.69793202182855,2.0231107793553376,0.12628196721311477,76.24625297687867,0.004258040151784163,61,72.22300450474512,1.9899450288741023,0.1256533333333333,53.35466451044614,0.004167387100468787,60,58.573730505569706
24,CTRL,Mouse24_Cable1_CTRL_2026-04-01_13-17-43_DIFF_Ch2_minus_Ch3.npy,3.6878523128242846,0.1447573333333333,96.72595791726506,0.008897394442193488,75,79.23668575405733,2.409396844378533,0.12963265306122448,71.11366159439737,0.005205608420235524,49,73.82423340554166,2.6060823010624947,0.12436226415094341,52.5254407694115,0.00540163825873054,53,59.57083975859894
24,CTRL,Mouse24_Cable1_CTRL_2026-03-30_12-54-24_DIFF_Ch2_minus_Ch3.npy,5.76134902980869,0.15231034482758618,108.77402458537249,0.01462521762337068,116,89.18349478879321,2.334339693112142,0.1267914893617021,74.88950585965348,0.004932906772763785,47,75.16271193107862,2.1853392871688135,0.12465454545454545,51.552405784241344,0.004540207925099814,44,58.54489112907243
26,CTRL,Mouse26_Cable1_CTRL_2026-02-21_14-36-19_DIFF_Ch3_minus_Ch4.npy,4.931589169228626,0.17315496688741722,133.7858666194456,0.014232152655002134,151,106.81191788848268,3.1353149685162123,0.14519166666666666,109.91470245809506,0.00758702676339694,96,112.97742190472424,3.919143710645265,0.12846666666666667,78.259048292475,0.008391322144903807,120,85.97431178552239
26,CTRL,Mouse26_Cable1_CTRL_2026-03-19_15-33-40_DIFF_Ch3_minus_Ch4.npy,10.153214539955778,0.21063673469387756,170.2097209824795,0.03564399928904475,294,133.22057290383447,3.1426616433196455,0.13073406593406595,124.60341562386242,0.006847548908103508,91,124.52127725834326,3.2808006166523773,0.12965894736842107,89.49402317277874,0.007089752574680231,95,95.4468309779716
26,CTRL,Mouse26_Cable1_CTRL_2026-03-24_15-03-43_DIFF_Ch3_minus_Ch4.npy,3.270114093613356,0.15451428571428572,142.36213447760173,0.008421322389648109,98,117.02645806603496,3.436956649409956,0.13115339805825244,116.68748070796865,0.007512809059150358,103,114.62849981562928,3.303482604772676,0.1256888888888889,87.32290768888858,0.0069201843009608355,99,93.83013435697133
26,CTRL,Mouse26_Cable1_CTRL_2026-04-01_13-41-00_DIFF_Ch3_minus_Ch4.npy,3.5970655828823035,0.167813698630137,143.43788963584004,0.010060614661310816,73,115.30195720897315,2.611568162914549,0.12979622641509433,113.79694316119209,0.005649528209535147,53,112.11040221154687,3.399966098888753,0.13455072463768117,84.17733896381218,0.007624465039150528,69,90.78801517126098
26,CTRL,Mouse26_Cable1_CTRL_2026-03-30_13-16-59_DIFF_Ch3_minus_Ch4.npy,2.6895359122773,0.15598518518518514,152.53933320526923,0.006992129288979677,54,124.05461364656244,4.03430386841595,0.1341925925925926,130.38094296522786,0.009022894923484364,81,123.06991755186623,3.386823000645489,0.1309647058823529,97.82057443871507,0.007392571302585408,68,98.635269619927
1,HF,Mouse1_Cable1_HF_2026-02-21_12-36-13_DIFF_Ch2_minus_Ch3.npy,6.998824462848515,0.15725876777251185,247.39707459308886,0.018343775181394493,211,208.53309702088885,5.5393539587474026,0.15374371257485028,192.72931657983995,0.014194014048066998,167,171.2269733943097,3.715015828621013,0.13462857142857146,109.90580477077648,0.008335787897362957,112,115.98684750516863
