mouse,group,cable,differential_file,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,theta_delta,log_theta_delta,low_gamma_theta,log_low_gamma_theta,high_gamma_theta,log_high_gamma_theta,fast_gamma_theta,log_fast_gamma_theta,beta_theta,log_beta_theta,beta_episode_rate,beta_mean_duration_sec,beta_mean_amplitude,beta_fraction_of_time,beta_n_episodes,beta_threshold,low_gamma_episode_rate,low_gamma_mean_duration_sec,low_gamma_mean_amplitude,low_gamma_fraction_of_time,low_gamma_n_episodes,low_gamma_threshold,high_gamma_episode_rate,high_gamma_mean_duration_sec,high_gamma_mean_amplitude,high_gamma_fraction_of_time,high_gamma_n_episodes,high_gamma_threshold
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-06_11-51-01_DIFF_Ch3_minus_Ch4.npy,2026-03-06,diet,11.0,,30.65,interpolated,C,0.9332693011600518,-0.0299930195633238,0.0325135488027033,-1.487935625357235,0.0123884919018294,-1.9069815587229932,0.0062547485957439,-2.2037901417140233,0.0943580176505064,-1.025221191700067,4.6116547495651865,0.16925142857142858,191.2900297825665,0.013008819240702026,140,148.87884707058913,4.7763567049068,0.2561655172413793,135.27120293848068,0.020392298097363013,145,124.23954648295327,2.668171676534144,0.12426666666666666,84.50323480530234,0.005526080005621827,81,89.08742059132828
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-11_11-51-53_DIFF_Ch3_minus_Ch4.npy,2026-03-11,diet,16.0,,29.77,interpolated,C,0.7587871351975088,-0.1198800409358468,0.0379428272985404,-1.4208703109168836,0.0078098168868213,-2.107359148705972,0.0034353892618721,-2.46402404617212,0.0842653236815665,-1.074351106655985,4.588921324163175,0.1932521739130435,174.7603490016015,0.014780317030174264,138,132.2476207624557,7.0163941985393485,0.28452701421800947,128.2146975820021,0.033272561531449404,211,114.48208500520911,1.995183184418772,0.1661466666666667,81.61138372816731,0.005524883924676071,60,78.50814241595398
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-17_11-09-26_DIFF_Ch3_minus_Ch4.npy,2026-03-17,diet,22.0,,29.2,interpolated,D,2.209660790430665,0.3443256093633694,0.0170851228707705,-1.7673818935461805,0.0069591190323918,-2.1574457350427294,0.0024739184110961,-2.6066146273402877,0.0611046658940563,-1.2139256261784943,3.5687771651132203,0.14576296296296296,197.90761146861374,0.008669925562357772,108,164.1833263200465,3.43660023307199,0.15215384615384617,132.10407114089713,0.00871486571925179,104,119.46465640429429,2.6435386408246075,0.12569000000000002,101.21675520681396,0.005537772862754082,80,86.32098201254485
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-24_13-14-52_DIFF_Ch3_minus_Ch4.npy,2026-03-24,diet,29.0,,29.57,interpolated,B,4.236468391424028,0.6270039704546129,0.0099008663897814,-2.0043268001663046,0.0044010116903183,-2.3564474778278757,0.0005878974535649,-3.23069842092181,0.0507228289645624,-1.2947965325427897,4.348334032263549,0.14999699248120305,365.5527708433772,0.010870617119053244,133,311.1900518711275,3.138647121032336,0.12974166666666667,197.72676581062137,0.006786888476021172,96,190.49129172283614,2.190514136553818,0.1294686567164179,146.00648418918036,0.004726715379632447,67,144.7756643085395
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-04-01_11-42-11_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,29.73,interpolated,A,4.6922387641036,0.671380103037353,0.0087500510410913,-2.057989413629151,0.0041096558915075,-2.3861945408187952,0.0006478661552815,-3.1885147071335367,0.0446310788513563,-1.350362614984972,7.682727348758867,0.16413670886075948,333.2681657668041,0.021016959701663812,158,276.9076520843397,5.056985090322293,0.136,175.79067763147074,0.011462499538063862,104,168.7618927020544,5.689108226612579,0.13602735042735042,141.50161133779721,0.01289790530600919,117,130.07428514938053
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-30_11-14-35_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,28.6,measured,D,4.830260008394433,0.6839705090479307,0.0092636411411612,-2.0332182771736456,0.0034022849111867,-2.4682293208894643,0.0005662457782517,-3.2469950229284157,0.0477994942271546,-1.3205766986916037,5.332597532719644,0.15439266055045872,345.7099695963519,0.013721898678689962,109,291.92217763519756,5.772903751017597,0.23317966101694912,187.09487621852142,0.02243539566242929,118,177.49816079090894,2.348299830922412,0.13273333333333334,121.46268324539442,0.005194961070407247,48,123.45867338186153
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-02-19_11-46-09_DIFF_Ch2_minus_Ch3.npy,2026-02-19,baseline,,,30.5,baseline,D,0.9779098216362356,-0.0097011920134979,0.0325760410421743,-1.487101696516454,0.0152805288327136,-1.81586161531824,0.0105108407506871,-1.978362543840418,0.1008671898801058,-0.9962500782751896,4.868115727829351,0.18688648648648648,276.74429805105063,0.015163084069727205,148,161.51579425089335,3.716872143545383,0.1656283185840708,216.97940712065875,0.010260321392123213,113,126.27518343015095,3.4866234266885896,0.14612075471698113,176.57751383894185,0.00849113410869406,106,102.27337919136585
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-04_12-19-35_DIFF_Ch2_minus_Ch3.npy,2026-03-04,diet,9.0,,28.37,interpolated,B,0.3236147215701697,-0.4899717301028306,0.0921703982543982,-1.0354085359850465,0.0532482135521463,-1.2736949579823602,0.0355156905736333,-1.4495797364078762,0.1916616414346187,-0.7174647967734719,3.169117303996697,0.150625,202.91069474190212,0.007955804898575041,96,126.43470879223037,2.9380358339136046,0.14062022471910116,203.6016845621986,0.006885787653295046,89,114.85082664843384,4.489582847328654,0.13598235294117647,138.5102721794613,0.01017506732173495,136,93.56530544693926
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-09_12-34-46_DIFF_Ch2_minus_Ch3.npy,2026-03-09,diet,14.0,,27.4,measured,A,0.2957876155103627,-0.5290200136660603,0.0688492378210454,-1.162100863133221,0.0158360598158338,-1.8003528665032194,0.0094926168462205,-2.022614048351296,0.140658520165861,-0.8518339560053756,7.15807697429751,0.27136,285.7481931586337,0.032373596129089535,215,134.56183913018018,7.0249034491943,0.20195260663507106,252.85408452057763,0.023644959382074844,211,123.52985205767837,6.658676255160474,0.17329999999999998,174.94636731600013,0.019232476583655168,200,98.92287217910277
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-14_12-26-46_DIFF_Ch2_minus_Ch3.npy,2026-03-14,diet,19.0,,28.2,interpolated,D,0.4057578624984385,-0.3917330559586564,0.0393335147817019,-1.4052372439768386,0.0171333409783307,-1.766157941939594,0.0090632129210672,-2.0427178170545734,0.1327590526384796,-0.8769358553546407,4.4220776716331365,0.19479699248120302,201.4449461441844,0.014356790515873597,133,120.22936656699602,3.823600994269253,0.15888000000000008,156.80822544244273,0.010124895432824983,115,108.33304694321501,4.954056940401032,0.14347382550335572,99.41894295097919,0.011846291683346433,149,89.65495402114192
