tier,outcome,effect,coef,se,ci_low,ci_high,p_value,p_fdr,n_obs,n_groups,group_var,residual_var,converged
primary,log_high_gamma_theta,group[T.HF]:days_on_diet,-0.006753969418931939,0.0053534075375889075,-0.017246455387171452,0.003738516549307575,0.20708532722992645,,89,19,0.06766786260708307,0.046537592103745695,True
primary,log_high_gamma_theta,body_weight,-0.026033760278819526,0.020048564882259763,-0.06532822538976317,0.013260704832124118,0.19410360742717536,,89,19,0.06766786260708307,0.046537592103745695,True
primary,log_fast_gamma_theta,Intercept,-1.4346001588452506,0.8631935255668534,-3.1264283806444375,0.2572280629539363,0.09651915794995324,,89,19,0.1241265659184559,0.07701701607017687,True
primary,log_fast_gamma_theta,group[T.HF],0.15989578499755963,0.27046316079760235,-0.3702022693106064,0.6899938393057257,0.5543914652136108,0.6098306117349719,89,19,0.1241265659184559,0.07701701607017687,True
primary,log_fast_gamma_theta,C(estrous_phase)[T.B],-0.15756782056265675,0.10138322258108932,-0.35627528545819975,0.04113964433288628,0.1201413840001272,,89,19,0.1241265659184559,0.07701701607017687,True
primary,log_fast_gamma_theta,C(estrous_phase)[T.C],0.028825846120664494,0.12000657080809941,-0.20638271057136617,0.2640344028126952,0.8101734837154287,,89,19,0.1241265659184559,0.07701701607017687,True
primary,log_fast_gamma_theta,C(estrous_phase)[T.D],0.022379051372066392,0.10063417743913952,-0.17486031202246033,0.2196184147665931,0.8240179018882897,,89,19,0.1241265659184559,0.07701701607017687,True
primary,log_fast_gamma_theta,days_on_diet,0.003246333714691505,0.00522772129836437,-0.006999811751315631,0.01349247918069864,0.534609844495491,,89,19,0.1241265659184559,0.07701701607017687,True
primary,log_fast_gamma_theta,group[T.HF]:days_on_diet,-0.003913850829937836,0.006893337703608763,-0.017424544462283052,0.009596842802407381,0.57018913513247,,89,19,0.1241265659184559,0.07701701607017687,True
primary,log_fast_gamma_theta,body_weight,-0.02538310775504354,0.026671711369933467,-0.0776587014461606,0.02689248593607352,0.3412559958061139,,89,19,0.1241265659184559,0.07701701607017687,True
primary,log_beta_theta,Intercept,-0.7608912240710307,0.4919375582760789,-1.7250711209347194,0.20328867279265794,0.12193001130785704,,89,19,0.03817088058726044,0.02849081894134491,True
primary,log_beta_theta,group[T.HF],0.045341113141740864,0.15663128059434941,-0.26165055567557144,0.3523327819590532,0.7722165739153413,0.7722165739153413,89,19,0.03817088058726044,0.02849081894134491,True
primary,log_beta_theta,C(estrous_phase)[T.B],-0.09172339479323995,0.06133969225062682,-0.21194698242723917,0.028500192840759275,0.13482700920209323,,89,19,0.03817088058726044,0.02849081894134491,True
primary,log_beta_theta,C(estrous_phase)[T.C],0.0023927216476362883,0.0727579413775735,-0.14021022304168435,0.14499566633695693,0.9737654534353107,,89,19,0.03817088058726044,0.02849081894134491,True
primary,log_beta_theta,C(estrous_phase)[T.D],0.005751147011866426,0.061062497153270036,-0.11392914821462242,0.12543144223835528,0.9249625159566415,,89,19,0.03817088058726044,0.02849081894134491,True
primary,log_beta_theta,days_on_diet,0.007060426497425674,0.003137152984368721,0.0009117196340706337,0.013209133360780716,0.024411894000816465,,89,19,0.03817088058726044,0.02849081894134491,True
primary,log_beta_theta,group[T.HF]:days_on_diet,0.0015008521190098283,0.004183869190395575,-0.006699380810192253,0.00970108504821191,0.7198019608478926,,89,19,0.03817088058726044,0.02849081894134491,True
primary,log_beta_theta,body_weight,-0.008919413859093797,0.015188935339373485,-0.038689180087773486,0.020850352369585896,0.5570485675229186,,89,19,0.03817088058726044,0.02849081894134491,True
exploratory,beta_episode_rate,Intercept,-6.529398065499727,7.755058314726631,-21.729033060371812,8.670236929372358,0.39981401281757156,,89,19,9.302179565431125,7.32712414950911,True
exploratory,beta_episode_rate,group[T.HF],-1.1100564053504014,2.482523267728091,-5.975712600880145,3.7555997901793425,0.6547678864088413,,89,19,9.302179565431125,7.32712414950911,True
exploratory,beta_episode_rate,C(estrous_phase)[T.B],1.7643779153737893,0.9882374934243299,-0.17253197991003577,3.7012878106576146,0.0741999531702092,,89,19,9.302179565431125,7.32712414950911,True
exploratory,beta_episode_rate,C(estrous_phase)[T.C],2.126821597418629,1.188969668501036,-0.2035161315539291,4.457159326391187,0.07364802628521748,,89,19,9.302179565431125,7.32712414950911,True
exploratory,beta_episode_rate,C(estrous_phase)[T.D],1.9848225888871203,0.9891992903793901,0.04602760621093682,3.9236175715633035,0.04480355233088338,,89,19,9.302179565431125,7.32712414950911,True
exploratory,beta_episode_rate,days_on_diet,0.098134741686087,0.05024012248524043,-0.00033408896386519227,0.1966035723360392,0.05078238291607855,,89,19,9.302179565431125,7.32712414950911,True
exploratory,beta_episode_rate,group[T.HF]:days_on_diet,0.04378767390895285,0.06711509766174305,-0.08775550032695192,0.17533084814485764,0.5141260194584156,,89,19,9.302179565431125,7.32712414950911,True
exploratory,beta_episode_rate,body_weight,0.31300448676977277,0.23890965105152187,-0.15524982485024197,0.7812587983897875,0.19014933317636407,,89,19,9.302179565431125,7.32712414950911,True
exploratory,beta_mean_duration_sec,Intercept,0.021613595076958026,0.15701270209383486,-0.28612564614227504,0.3293528362961911,0.8905130272818862,,89,19,0.0017053106641675567,0.006328729314190562,True
exploratory,beta_mean_duration_sec,group[T.HF],-0.07669516647999783,0.057382274532840304,-0.1891623579153548,0.035772024955359125,0.1813645179751575,,89,19,0.0017053106641675567,0.006328729314190562,True
exploratory,beta_mean_duration_sec,C(estrous_phase)[T.B],-0.043440811006496105,0.028447245367078017,-0.09919638738534292,0.012314765372350718,0.1267446894659931,,89,19,0.0017053106641675567,0.006328729314190562,True
exploratory,beta_mean_duration_sec,C(estrous_phase)[T.C],-0.042885381061621826,0.03396972238756764,-0.10946481350607837,0.023694051382834723,0.2067836778984654,,89,19,0.0017053106641675567,0.006328729314190562,True
exploratory,beta_mean_duration_sec,C(estrous_phase)[T.D],-0.033782673206399653,0.028310444489882486,-0.08927012479288975,0.02170477838009044,0.23275439449853508,,89,19,0.0017053106641675567,0.006328729314190562,True
exploratory,beta_mean_duration_sec,days_on_diet,0.0009269583320302109,0.0014096769419757022,-0.001835957704078725,0.003689874368139147,0.5108158151503019,,89,19,0.0017053106641675567,0.006328729314190562,True
exploratory,beta_mean_duration_sec,group[T.HF]:days_on_diet,0.0032169622777270712,0.0019476033644401038,-0.0006002701727445695,0.007034194728198712,0.09858464353819715,,89,19,0.0017053106641675567,0.006328729314190562,True
exploratory,beta_mean_duration_sec,body_weight,0.006674692757419941,0.0047040151575601695,-0.0025450075341284994,0.01589439304896838,0.1559179045630801,,89,19,0.0017053106641675567,0.006328729314190562,True
exploratory,beta_mean_amplitude,Intercept,56.87365399877194,180.9725886763318,-297.8261019958196,411.5734099933635,0.753318505235766,,89,19,4420.146342390882,4964.753724088803,True
exploratory,beta_mean_amplitude,group[T.HF],-31.892054494064944,59.96519660319016,-149.42168016218125,85.63757117405135,0.5948349179358179,,89,19,4420.146342390882,4964.753724088803,True
exploratory,beta_mean_amplitude,C(estrous_phase)[T.B],22.328059083648213,25.543171044642293,-27.735636214797026,72.39175438209345,0.38204731280280735,,89,19,4420.146342390882,4964.753724088803,True
exploratory,beta_mean_amplitude,C(estrous_phase)[T.C],-49.08367875564743,30.040488580384565,-107.96195445118795,9.79459693989309,0.10227618335651512,,89,19,4420.146342390882,4964.753724088803,True
exploratory,beta_mean_amplitude,C(estrous_phase)[T.D],-9.325118809453745,25.28707322773867,-58.88687161024855,40.236633991341066,0.7122990256588593,,89,19,4420.146342390882,4964.753724088803,True
exploratory,beta_mean_amplitude,days_on_diet,-0.32285312169370145,1.2865327680830094,-2.844411012067022,2.198704768679619,0.8018541346131302,,89,19,4420.146342390882,4964.753724088803,True
exploratory,beta_mean_amplitude,group[T.HF]:days_on_diet,0.5681096819820197,1.7410789004125846,-2.844342257069245,3.980561621033285,0.7441992840977545,,89,19,4420.146342390882,4964.753724088803,True
exploratory,beta_mean_amplitude,body_weight,5.140378480658979,5.563986194257636,-5.764834070564067,16.045591031882026,0.35555601114248336,,89,19,4420.146342390882,4964.753724088803,True
exploratory,beta_fraction_of_time,Intercept,-0.08092082795788431,0.051094748071731734,-0.18106469397762587,0.019223038061857253,0.11325275717716417,,89,19,0.0003565315445597757,0.000303560924574157,True
exploratory,beta_fraction_of_time,group[T.HF],-0.019074128514341857,0.015912224220307386,-0.050261514900070275,0.012113257871386562,0.23064106517100325,,89,19,0.0003565315445597757,0.000303560924574157,True
exploratory,beta_fraction_of_time,C(estrous_phase)[T.B],0.0014955467338233772,0.006388643515953532,-0.011025964467510887,0.014017057935157642,0.8149115641286303,,89,19,0.0003565315445597757,0.000303560924574157,True
exploratory,beta_fraction_of_time,C(estrous_phase)[T.C],0.00631473960821678,0.0076969942689208435,-0.008771091948079277,0.021400571164512838,0.41197882278150877,,89,19,0.0003565315445597757,0.000303560924574157,True
exploratory,beta_fraction_of_time,C(estrous_phase)[T.D],0.004779850620546723,0.006384634655260602,-0.007733803358210361,0.017293504599303806,0.45406876466966495,,89,19,0.0003565315445597757,0.000303560924574157,True
exploratory,beta_fraction_of_time,days_on_diet,0.0006660355546935565,0.00032528154317855283,2.8495445227982538e-05,0.0013035756641591304,0.040602505559356475,,89,19,0.0003565315445597757,0.000303560924574157,True
exploratory,beta_fraction_of_time,group[T.HF]:days_on_diet,0.0006260638608061002,0.0004326370483885367,-0.00022188917241314438,0.0014740168940253447,0.14787229161098298,,89,19,0.0003565315445597757,0.000303560924574157,True
exploratory,beta_fraction_of_time,body_weight,0.002969539206376766,0.0015661689317291972,-0.00010009549351803126,0.006039173906271563,0.05795304462787357,,89,19,0.0003565315445597757,0.000303560924574157,True
exploratory,low_gamma_episode_rate,Intercept,-4.3120261364541435,4.929187453647455,-13.973056018649853,5.349003745741566,0.3816857234578864,,89,19,2.970043591504588,3.8899629022857893,True
exploratory,low_gamma_episode_rate,group[T.HF],-2.749841212505966,1.6400384241768102,-5.964257457154338,0.46457503214240603,0.09360249830445812,,89,19,2.970043591504588,3.8899629022857893,True
exploratory,low_gamma_episode_rate,C(estrous_phase)[T.B],0.5919411094068202,0.7235335799259567,-0.8261586488533875,2.010040867667028,0.4132856577230478,,89,19,2.970043591504588,3.8899629022857893,True
exploratory,low_gamma_episode_rate,C(estrous_phase)[T.C],1.0244138432694527,0.8761723426796713,-0.6928523926327894,2.7416800791716947,0.24232621486676564,,89,19,2.970043591504588,3.8899629022857893,True
exploratory,low_gamma_episode_rate,C(estrous_phase)[T.D],0.5932611893351823,0.7279390978418453,-0.8334732253734131,2.019995604043778,0.41507952510887713,,89,19,2.970043591504588,3.8899629022857893,True
exploratory,low_gamma_episode_rate,days_on_diet,0.015294596124443999,0.03594627551940215,-0.05515880927193805,0.08574800152082605,0.6704832537298757,,89,19,2.970043591504588,3.8899629022857893,True
exploratory,low_gamma_episode_rate,group[T.HF]:days_on_diet,0.08196079562199109,0.048867743200810505,-0.013818221057349603,0.1777398123013318,0.0935041121951864,,89,19,2.970043591504588,3.8899629022857893,True
exploratory,low_gamma_episode_rate,body_weight,0.2773469569010998,0.15026260132016206,-0.01716232990971861,0.5718562437119181,0.06492874510723988,,89,19,2.970043591504588,3.8899629022857893,True
exploratory,low_gamma_mean_duration_sec,Intercept,0.16042908274934484,0.08480466622968541,-0.005785008781778733,0.3266431742804684,0.058524525290039965,,89,19,0.00031197165026737795,0.002744569767346572,True
exploratory,low_gamma_mean_duration_sec,group[T.HF],-0.10393570304949766,0.03493765107411683,-0.17241224085919377,-0.03545916523980154,0.0029309269013100196,,89,19,0.00031197165026737795,0.002744569767346572,True
exploratory,low_gamma_mean_duration_sec,C(estrous_phase)[T.B],-0.025598973292848524,0.018105654321208087,-0.061085403678948366,0.009887457093251322,0.15740118170640427,,89,19,0.00031197165026737795,0.002744569767346572,True
exploratory,low_gamma_mean_duration_sec,C(estrous_phase)[T.C],-0.009217685364345916,0.0212976686666007,-0.050960348905550484,0.03252497817685865,0.6651582187245473,,89,19,0.00031197165026737795,0.002744569767346572,True
exploratory,low_gamma_mean_duration_sec,C(estrous_phase)[T.D],-0.018370412745575163,0.01784329306127905,-0.053342624511275555,0.016601799020125225,0.30322523516535627,,89,19,0.00031197165026737795,0.002744569767346572,True
exploratory,low_gamma_mean_duration_sec,days_on_diet,-0.0026160738658541315,0.0009132168937987553,-0.004405946087773231,-0.0008262016439350317,0.004174312783703327,,89,19,0.00031197165026737795,0.002744569767346572,True
