mouse,group,cable,differential_file,days_on_diet,body_weight,duration_min,min,max,mean,std,rms,peak_to_peak,diff_path,bad_std,bad_rms,bad_peak_to_peak,bad_candidate
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-03-09_13-11-23_DIFF_Ch3_minus_Ch4.npy,14.0,29.7,30.074266666666666,-19541.0,23279.0,0.1704234406380649,218.44051492614912,218.44058140682174,42820.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse19_Cable1_CTRL_2026-03-09_13-11-23_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-03-14_13-02-22_DIFF_Ch3_minus_Ch4.npy,19.0,29.15,30.043066666666668,-14686.0,14429.0,-2.9345930064840253,243.01488225386402,243.03260035018576,29115.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse19_Cable1_CTRL_2026-03-14_13-02-22_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-03-19_19-00-58_DIFF_Ch3_minus_Ch4.npy,24.0,28.5,31.38456,-11732.0,14572.0,-0.1501137289588681,182.3365575735897,182.3366193662661,26304.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse19_Cable1_CTRL_2026-03-19_19-00-58_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-03-27_12-30-35_DIFF_Ch3_minus_Ch4.npy,32.0,29.03,30.311213333333335,-16200.0,21259.0,-0.02495534105970024,269.07390659958946,269.0739077568349,37459.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse19_Cable1_CTRL_2026-03-27_12-30-35_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-04-01_12-52-41_DIFF_Ch3_minus_Ch4.npy,,29.27,20.579240000000002,-7487.0,12223.0,0.048709281781057025,172.3517362356272,172.35174311862744,19710.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse19_Cable1_CTRL_2026-04-01_12-52-41_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
19,CTRL,Cable1,Mouse19_Cable1_CTRL_2026-03-30_12-31-14_DIFF_Ch3_minus_Ch4.npy,35.0,28.8,20.187906666666667,-12282.0,9225.0,0.37222482370633775,153.47542772026907,153.47587909909143,21507.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse19_Cable1_CTRL_2026-03-30_12-31-14_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
24,CTRL,Cable1,Mouse24_Cable1_CTRL_2026-03-06_13-06-06_DIFF_Ch2_minus_Ch3.npy,11.0,27.02,30.07636,-11863.0,11500.0,-0.27953028003832026,141.98907867916355,141.9893538309657,23363.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse24_Cable1_CTRL_2026-03-06_13-06-06_DIFF_Ch2_minus_Ch3.npy,False,False,False,False
24,CTRL,Cable1,Mouse24_Cable1_CTRL_2026-03-11_13-10-18_DIFF_Ch2_minus_Ch3.npy,16.0,26.93,30.062213333333332,-13816.0,15761.0,-0.12016236551223108,221.6473315148972,221.64736408689555,29577.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse24_Cable1_CTRL_2026-03-11_13-10-18_DIFF_Ch2_minus_Ch3.npy,False,False,False,False
24,CTRL,Cable1,Mouse24_Cable1_CTRL_2026-03-17_12-19-55_DIFF_Ch2_minus_Ch3.npy,22.0,26.57,30.30912,-2200.0,3973.0,-0.0697844961076622,112.98846810016745,112.9884896504881,6173.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse24_Cable1_CTRL_2026-03-17_12-19-55_DIFF_Ch2_minus_Ch3.npy,False,False,False,False
24,CTRL,Cable1,Mouse24_Cable1_CTRL_2026-03-24_14-29-11_DIFF_Ch2_minus_Ch3.npy,29.0,25.8,30.151586666666667,-3243.0,1398.0,-0.03152028704735937,108.71859356966833,108.71859813893492,4641.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse24_Cable1_CTRL_2026-03-24_14-29-11_DIFF_Ch2_minus_Ch3.npy,False,False,False,False
